Time,V(NODE1),V(V2.nA),foo
0,0.13237929158302258,0,
5e-8,0.13237929158302258,0,
1e-7,0.13237929158302258,0,
1.5e-7,0.13237929158302258,0,
2e-7,0.13237929158302258,0,
2.5e-7,0.13237929158302258,0,
3e-7,0.13237929158302258,0,
3.5e-7,0.13237929158302258,0,
4e-7,0.13237929158302258,0,
4.5e-7,0.13237929158302258,0,
5e-7,0.13237929158302258,0,
5.5e-7,0.13237929158302258,0,
6e-7,0.13237929158302258,0,
6.5e-7,0.13237929158302258,0,
7e-7,0.13237929158302258,0,
7.5e-7,0.13237929158302258,0,
8e-7,0.13237929158302258,0,
8.5e-7,0.13237929158302258,0,
9e-7,0.13237929158302258,0,
9.5e-7,0.13237929158302258,0,
0.000001,0.13237929158302258,0,
0.00000105,0.13237929158302258,0,
0.0000011,0.13237929158302258,0,
0.00000115,0.13237929158302258,0,
0.0000012,0.13237929158302258,0,
0.00000125,0.13237929158302258,0,
0.0000013,0.13237929158302258,0,
0.00000135,0.13237929158302258,0,
0.0000014,0.13237929158302258,0,
0.00000145,0.13237929158302258,0,
0.0000015,0.13237929158302258,0,
0.00000155,0.13237929158302258,0,
0.0000016,0.13237929158302258,0,
0.00000165,0.13237929158302258,0,
0.0000017,0.13237929158302258,0,
0.00000175,0.13237929158302258,0,
0.0000018,0.13237929158302258,0,
0.00000185,0.13237929158302258,0,
0.0000019,0.13237929158302258,0,
0.00000195,0.13237929158302258,0,
0.000002,0.13237929158302258,0,
0.00000205,0.13237929158302258,0,
0.0000021,0.13237929158302258,0,
0.00000215,0.13237929158302258,0,
0.0000022,0.13237929158302258,0,
0.00000225,0.13237929158302258,0,
0.0000023,0.13237929158302258,0,
0.00000235,0.13237929158302258,0,
0.0000024,0.13237929158302258,0,
0.00000245,0.13237929158302258,0,
0.0000025,0.13237929158302258,0,
0.00000255,0.13237929158302258,0,
0.0000026,0.13237929158302258,0,
0.00000265,0.13237929158302258,0,
0.0000027,0.13237929158302258,0,
0.00000275,0.13237929158302258,0,
0.0000028,0.13237929158302258,0,
0.00000285,0.13237929158302258,0,
0.0000029,0.13237929158302258,0,
0.00000295,0.13237929158302258,0,
0.000003,0.13237929158302258,0,
0.00000305,0.13237929158302258,0,
0.0000031,0.13237929158302258,0,
0.00000315,0.13237929158302258,0,
0.0000032,0.13237929158302258,0,
0.00000325,0.13237929158302258,0,
0.0000033,0.13237929158302258,0,
0.00000335,0.13237929158302258,0,
0.0000034,0.13237929158302258,0,
0.00000345,0.13237929158302258,0,
0.0000035,0.13237929158302258,0,
0.00000355,0.13237929158302258,0,
0.0000036,0.13237929158302258,0,
