t,v(tgt),v(txd),i(tgt),i(txd)
9.734400000000001e-07,2.260082465610960e-02,0.000000000000000e+00,-1.331980194126275e-03,1.331980192560280e-03
1.021440000000000e-06,2.260082469045244e-02,0.000000000000000e+00,-1.331980194116185e-03,1.331980195629829e-03
1.069440000000000e-06,2.260082465626875e-02,0.000000000000000e+00,-1.331980194126228e-03,1.331980192574508e-03
1.117440000000000e-06,2.260082469029409e-02,0.000000000000000e+00,-1.331980194116231e-03,1.331980195615659e-03
1.165440000000000e-06,2.260082465642647e-02,0.000000000000000e+00,-1.331980194126182e-03,1.331980192588609e-03
1.213440000000000e-06,2.260082469013693e-02,0.000000000000000e+00,-1.331980194116277e-03,1.331980195601627e-03
1.261440000000000e-06,2.260082465658310e-02,0.000000000000000e+00,-1.331980194126136e-03,1.331980192602578e-03
1.309440000000000e-06,2.260082468998118e-02,0.000000000000000e+00,-1.331980194116323e-03,1.331980195587728e-03
1.357440000000000e-06,2.260082465673777e-02,0.000000000000000e+00,-1.331980194126090e-03,1.331980192616413e-03
1.405440000000000e-06,2.260082468982696e-02,0.000000000000000e+00,-1.331980194116368e-03,1.331980195573950e-03
1.453440000000000e-06,2.260082465689130e-02,0.000000000000000e+00,-1.331980194126046e-03,1.331980192630124e-03
1.501440000000000e-06,2.260082468967445e-02,0.000000000000000e+00,-1.331980194116413e-03,1.331980195560309e-03
1.549440000000000e-06,2.260082465704337e-02,0.000000000000000e+00,-1.331980194126001e-03,1.331980192643706e-03
1.597440000000000e-06,2.260082468952322e-02,0.000000000000000e+00,-1.331980194116458e-03,1.331980195546790e-03
1.645440000000000e-06,2.260082465719364e-02,0.000000000000000e+00,-1.331980194125957e-03,1.331980192657173e-03
1.693440000000000e-06,2.260082468937361e-02,0.000000000000000e+00,-1.331980194116502e-03,1.331980195533388e-03
1.741440000000000e-06,2.260082465734276e-02,0.000000000000000e+00,-1.331980194125913e-03,1.331980192670498e-03
1.789440000000000e-06,2.260082468922501e-02,0.000000000000000e+00,-1.331980194116545e-03,1.331980195520115e-03
1.837440000000000e-06,2.260082465749037e-02,0.000000000000000e+00,-1.331980194125869e-03,1.331980192683711e-03
1.885440000000000e-06,2.260082468907787e-02,0.000000000000000e+00,-1.331980194116588e-03,1.331980195506971e-03
1.933440000000000e-06,2.260082465763726e-02,0.000000000000000e+00,-1.331980194125826e-03,1.331980192696801e-03
1.981440000000000e-06,2.260082468893190e-02,0.000000000000000e+00,-1.331980194116631e-03,1.331980195493941e-03
2.029440000000001e-06,2.260082465778230e-02,0.000000000000000e+00,-1.331980194125784e-03,1.331980192709763e-03
2.077440000000001e-06,2.260082468878800e-02,0.000000000000000e+00,-1.331980194116674e-03,1.331980195481036e-03
2.125440000000001e-06,2.260082465792588e-02,0.000000000000000e+00,-1.331980194125741e-03,1.331980192722609e-03
2.173440000000001e-06,2.260082468864469e-02,0.000000000000000e+00,-1.331980194116716e-03,1.331980195468255e-03
2.221440000000002e-06,2.260082465806831e-02,0.000000000000000e+00,-1.331980194125700e-03,1.331980192735337e-03
2.269440000000002e-06,2.260082468850311e-02,0.000000000000000e+00,-1.331980194116757e-03,1.331980195455589e-03
2.317440000000002e-06,2.260082465820924e-02,0.000000000000000e+00,-1.331980194125658e-03,1.331980192747950e-03
2.365440000000002e-06,2.260082468836229e-02,0.000000000000000e+00,-1.331980194116799e-03,1.331980195443032e-03
2.413440000000002e-06,2.260082465834943e-02,0.000000000000000e+00,-1.331980194125617e-03,1.331980192760440e-03
2.461440000000003e-06,2.260082468822353e-02,0.000000000000000e+00,-1.331980194116840e-03,1.331980195430592e-03
2.509440000000003e-06,2.260082465848784e-02,0.000000000000000e+00,-1.331980194125576e-03,1.331980192772821e-03
2.557440000000003e-06,2.260082468808553e-02,0.000000000000000e+00,-1.331980194116880e-03,1.331980195418274e-03
2.605440000000003e-06,2.260082465862463e-02,0.000000000000000e+00,-1.331980194125536e-03,1.331980192785087e-03
2.653440000000004e-06,2.260082468794872e-02,0.000000000000000e+00,-1.331980194116920e-03,1.331980195406064e-03
2.701440000000004e-06,2.260082465876095e-02,0.000000000000000e+00,-1.331980194125496e-03,1.331980192797241e-03
2.749440000000004e-06,2.260082468781349e-02,0.000000000000000e+00,-1.331980194116960e-03,1.331980195393977e-03
2.797440000000004e-06,2.260082465889519e-02,0.000000000000000e+00,-1.331980194125457e-03,1.331980192809269e-03
2.845440000000004e-06,2.260082468767923e-02,0.000000000000000e+00,-1.331980194116999e-03,1.331980195381987e-03
2.893440000000005e-06,2.260082465902866e-02,0.000000000000000e+00,-1.331980194125417e-03,1.331980192821196e-03
2.941440000000005e-06,2.260082468754696e-02,0.000000000000000e+00,-1.331980194117038e-03,1.331980195370121e-03
2.989440000000005e-06,2.260082465916116e-02,0.000000000000000e+00,-1.331980194125379e-03,1.331980192833014e-03
3.037440000000005e-06,2.260082468741508e-02,0.000000000000000e+00,-1.331980194117077e-03,1.331980195358362e-03
3.085440000000005e-06,2.260082465929196e-02,0.000000000000000e+00,-1.331980194125340e-03,1.331980192844718e-03
3.133440000000006e-06,2.260082468728479e-02,0.000000000000000e+00,-1.331980194117115e-03,1.331980195346707e-03
3.181440000000006e-06,2.260082465942186e-02,0.000000000000000e+00,-1.331980194125302e-03,1.331980192856316e-03
3.229440000000006e-06,2.260082468715551e-02,0.000000000000000e+00,-1.331980194117153e-03,1.331980195335160e-03
