t,v(tgt),v(txd),i(tgt),i(txd)
2.077440000000001e-06,6.829044143572376e-01,0.000000000000000e+00,-4.317095585642763e-04,4.317095595672109e-04
2.125440000000001e-06,6.829044142496822e-01,0.000000000000000e+00,-4.317095585750318e-04,4.317095575945059e-04
2.173440000000001e-06,6.829044143548345e-01,0.000000000000000e+00,-4.317095585645165e-04,4.317095595231350e-04
2.221440000000002e-06,6.829044142520315e-01,0.000000000000000e+00,-4.317095585747968e-04,4.317095576375930e-04
2.269440000000002e-06,6.829044143525379e-01,0.000000000000000e+00,-4.317095585647462e-04,4.317095594810107e-04
2.317440000000002e-06,6.829044142542771e-01,0.000000000000000e+00,-4.317095585745723e-04,4.317095576787805e-04
2.365440000000002e-06,6.829044143503423e-01,0.000000000000000e+00,-4.317095585649658e-04,4.317095594407426e-04
2.413440000000002e-06,6.829044142564233e-01,0.000000000000000e+00,-4.317095585743577e-04,4.317095577181466e-04
2.461440000000003e-06,6.829044143482442e-01,0.000000000000000e+00,-4.317095585651756e-04,4.317095594022595e-04
2.509440000000003e-06,6.829044142584748e-01,0.000000000000000e+00,-4.317095585741525e-04,4.317095577557727e-04
2.557440000000003e-06,6.829044143462385e-01,0.000000000000000e+00,-4.317095585653761e-04,4.317095593654730e-04
2.605440000000003e-06,6.829044142604355e-01,0.000000000000000e+00,-4.317095585739565e-04,4.317095577917353e-04
2.653440000000004e-06,6.829044143443216e-01,0.000000000000000e+00,-4.317095585655678e-04,4.317095593303118e-04
2.701440000000004e-06,6.829044142623096e-01,0.000000000000000e+00,-4.317095585737691e-04,4.317095578261088e-04
2.749440000000004e-06,6.829044143424893e-01,0.000000000000000e+00,-4.317095585657511e-04,4.317095592967050e-04
2.797440000000004e-06,6.829044142641010e-01,0.000000000000000e+00,-4.317095585735899e-04,4.317095578589645e-04
2.845440000000004e-06,6.829044143407379e-01,0.000000000000000e+00,-4.317095585659262e-04,4.317095592645849e-04
2.893440000000005e-06,6.829044142658133e-01,0.000000000000000e+00,-4.317095585734187e-04,4.317095578903717e-04
2.941440000000005e-06,6.829044143390640e-01,0.000000000000000e+00,-4.317095585660936e-04,4.317095592338838e-04
2.989440000000005e-06,6.829044142674497e-01,0.000000000000000e+00,-4.317095585732550e-04,4.317095579203858e-04
3.037440000000005e-06,6.829044143374640e-01,0.000000000000000e+00,-4.317095585662536e-04,4.317095592045357e-04
3.085440000000005e-06,6.829044142690140e-01,0.000000000000000e+00,-4.317095585730986e-04,4.317095579490764e-04
3.133440000000006e-06,6.829044143359346e-01,0.000000000000000e+00,-4.317095585664065e-04,4.317095591764870e-04
3.181440000000006e-06,6.829044142705091e-01,0.000000000000000e+00,-4.317095585729491e-04,4.317095579764972e-04
3.229440000000006e-06,6.829044143344729e-01,0.000000000000000e+00,-4.317095585665527e-04,4.317095591496768e-04
3.277440000000006e-06,6.829044142719383e-01,0.000000000000000e+00,-4.317095585728062e-04,4.317095580027106e-04
3.325440000000007e-06,6.829044143330758e-01,0.000000000000000e+00,-4.317095585666924e-04,4.317095591240515e-04
3.373440000000007e-06,6.829044142733041e-01,0.000000000000000e+00,-4.317095585726696e-04,4.317095580277618e-04
3.421440000000007e-06,6.829044143317405e-01,0.000000000000000e+00,-4.317095585668259e-04,4.317095590995589e-04
3.469440000000007e-06,6.829044142746097e-01,0.000000000000000e+00,-4.317095585725390e-04,4.317095580517096e-04
3.517440000000007e-06,6.829044143304639e-01,0.000000000000000e+00,-4.317095585669536e-04,4.317095590761471e-04
3.565440000000008e-06,6.829044142758576e-01,0.000000000000000e+00,-4.317095585724142e-04,4.317095580745958e-04
3.613440000000008e-06,6.829044143292439e-01,0.000000000000000e+00,-4.317095585670756e-04,4.317095590537692e-04
3.661440000000008e-06,6.829044142770503e-01,0.000000000000000e+00,-4.317095585722950e-04,4.317095580964724e-04
3.709440000000008e-06,6.829044143280779e-01,0.000000000000000e+00,-4.317095585671922e-04,4.317095590323835e-04
3.757440000000009e-06,6.829044142781905e-01,0.000000000000000e+00,-4.317095585721810e-04,4.317095581173828e-04
3.805440000000009e-06,6.829044143269631e-01,0.000000000000000e+00,-4.317095585673037e-04,4.317095590119398e-04
3.853440000000009e-06,6.829044142792801e-01,0.000000000000000e+00,-4.317095585720720e-04,4.317095581373685e-04
3.901440000000009e-06,6.829044143258979e-01,0.000000000000000e+00,-4.317095585674102e-04,4.317095589923998e-04
3.949440000000009e-06,6.829044142803216e-01,0.000000000000000e+00,-4.317095585719678e-04,4.317095581564713e-04
3.997440000000010e-06,6.829044143248797e-01,0.000000000000000e+00,-4.317095585675120e-04,4.317095589737256e-04
4.000000000000000e-06,6.829044142885256e-01,0.000000000000000e+00,-4.317095585711475e-04,4.317095583069430e-04
4.000291204303266e-06,6.955092658164801e-01,2.912043032662613e-02,-4.304490734183520e-04,2.140228155200234e-04
4.000873612909799e-06,7.286919914021591e-01,8.736129097987838e-02,-4.271308008597841e-04,7.380714068502088e-05
4.002038430122863e-06,8.160850231527103e-01,2.038430122862982e-01,-4.183914976847290e-04,2.144266213773168e-05
4.004368064548992e-06,1.001069313120402e+00,4.368064548992225e-01,-3.998930686879598e-04,2.793327801955432e-06
4.008393996112290e-06,1.309495551632760e+00,8.393996112289914e-01,-3.690504448367240e-04,5.112600663546818e-08
4.016445859238885e-06,1.859479188742259e+00,1.644585923888529e+00,-3.140520811257741e-04,1.214471307325054e-12
4.032549585492075e-06,2.730667203347226e+00,3.254958549207520e+00,-2.269332796652774e-04,-5.243997967845676e-13
4.050000000000000e-06,3.405007916555669e+00,5.000000000000000e+00,-1.594992083444331e-04,-1.595100436710924e-12
4.053220745250639e-06,3.501531616132430e+00,5.000000000000000e+00,-1.498468383867570e-04,-1.498576736959940e-12
4.059662235751914e-06,3.682896418642766e+00,5.000000000000000e+00,-1.317103581357234e-04,-1.317211934110761e-12
4.072545216754467e-06,3.983530232821819e+00,5.000000000000000e+00,-1.016469767178181e-04,-1.016578119004078e-12
4.098311178759571e-06,4.400023236034589e+00,5.000000000000000e+00,-5.999767639654105e-05,-6.000851264411172e-13
4.146311178759571e-06,4.789197355831597e+00,5.000000000000000e+00,-2.108026441684029e-05,-2.109107949936533e-13
4.194311178759571e-06,4.925934207027576e+00,5.000000000000000e+00,-7.406579297242395e-06,-7.416947183680315e-14
4.242311178759571e-06,4.973976883889473e+00,5.000000000000000e+00,-2.602311611052703e-06,-3.043070262694579e-14
4.290311178759572e-06,4.990856743117183e+00,5.000000000000000e+00,-9.143256882816536e-07,-9.341068811130232e-15
4.338311178759572e-06,4.996787504379274e+00,5.000000000000000e+00,-3.212495620725717e-07,-3.240347761340377e-15
4.386311178759572e-06,4.998871285336639e+00,5.000000000000000e+00,-1.128714663360805e-07,-1.135327382904044e-15
4.434311178759572e-06,4.999603424582713e+00,5.000000000000000e+00,-3.965754172871160e-08,-3.985682727968188e-16
4.482311178759573e-06,4.999860662692970e+00,5.000000000000000e+00,-1.393373070298753e-08,-1.399990632656539e-16
4.530311178759573e-06,4.999951043649495e+00,5.000000000000000e+00,-4.895635050453616e-09,-4.918421324844458e-17
4.578311178759573e-06,4.999982799120308e+00,5.000000000000000e+00,-1.720087969194622e-09,-1.728037023129884e-17
4.626311178759573e-06,4.999993956447751e+00,5.000000000000000e+00,-6.043552248273867e-10,-6.071411255377724e-18
4.674311178759573e-06,4.999997876589777e+00,5.000000000000000e+00,-2.123410222610797e-10,-2.133189876081898e-18
4.722311178759574e-06,4.999999253936958e+00,5.000000000000000e+00,-7.460630409902164e-11,-7.494980690143976e-19
4.770311178759574e-06,4.999999737869746e+00,5.000000000000000e+00,-2.621302534842190e-11,-2.633370233248016e-19
4.818311178759574e-06,4.999999907900182e+00,5.000000000000000e+00,-9.209981735591732e-12,-9.252380112539161e-20
4.866311178759574e-06,4.999999967640605e+00,5.000000000000000e+00,-3.235939511139763e-12,-3.250836124763451e-20
4.914311178759574e-06,4.999999988630482e+00,5.000000000000000e+00,-1.136951752363224e-12,-1.142185691656139e-20
4.962311178759575e-06,4.999999996005304e+00,5.000000000000000e+00,-3.994696283829424e-13,-4.013085321053054e-21
5.010311178759575e-06,4.999999998596457e+00,5.000000000000000e+00,-1.403543080369385e-13,-1.410004478898362e-21
5.058311178759575e-06,4.999999999506862e+00,5.000000000000000e+00,-4.931374319311344e-14,-4.954084854982384e-22
5.106311178759575e-06,4.999999999826733e+00,5.000000000000000e+00,-1.732663491849085e-14,-1.740641655991591e-22
5.154311178759576e-06,4.999999999939121e+00,5.000000000000000e+00,-6.087903618723356e-15,-6.115966654063948e-23
5.202311178759576e-06,4.999999999978608e+00,5.000000000000000e+00,-2.139130886313900e-15,-2.149054005503979e-23
5.250311178759576e-06,4.999999999992482e+00,5.000000000000000e+00,-7.517857864014488e-16,-7.552062057381109e-24
5.298311178759576e-06,4.999999999997358e+00,5.000000000000000e+00,-2.642200694347174e-16,-2.654409660985595e-24
5.346311178759576e-06,4.999999999999071e+00,5.000000000000000e+00,-9.291612618200773e-17,-9.338093633899414e-25
5.394311178759577e-06,4.999999999999672e+00,5.000000000000000e+00,-3.274290560906223e-17,-3.295797753140970e-25
5.442311178759577e-06,4.999999999999883e+00,5.000000000000000e+00,-1.170938346284345e-17,-1.179378607741621e-25
5.490311178759577e-06,4.999999999999957e+00,5.000000000000000e+00,-4.228388472693467e-18,-4.362085261510107e-26
5.538311178759577e-06,4.999999999999983e+00,5.000000000000000e+00,-1.626303258728257e-18,-1.615587133892632e-26
5.586311178759578e-06,4.999999999999993e+00,5.000000000000000e+00,-6.505213034913027e-19,-7.270142102516845e-27
5.634311178759578e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-4.038967834731580e-27
5.682311178759578e-06,4.999999999999997e+00,5.000000000000000e+00,-2.168404344971009e-19,-3.231174267785264e-27
5.730311178759578e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
5.778311178759578e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-4.038967834731580e-27
5.826311178759579e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
5.874311178759579e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
5.922311178759579e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
5.970311178759579e-06,4.999999999999996e+00,5.000000000000000e+00,-3.252606517456513e-19,-3.231174267785264e-27
